id,address,city,state,zip,longitude,latitude,state,county,tract
259,6040 Waterman Blvd, Saint Louis, MO,63112,-90.295357,38.650356,29,510,105198
260,500 De Baliviere Ave, Saint Louis, MO,63112,-90.284596,38.651602,29,510,105200
261,1823 S Miami Ave, Marshall, MO,65340,-93.208857,39.101881,29,195,90500
262,606 Sycamore St, Scott City, MO,63780,-89.51147,37.223242,29,201,780100
263,419 S 3rd St, Chaffee, MO,63740,-89.661001,37.17858,29,201,780200
264,306 Court St, Charleston, MO,63834,-89.347484,36.924111,29,133,950200
265,65498 Coal Banks Rd, Versailles, MO,65084,-92.67111,38.485137,29,135,385300
266,39294 Excelsior Dr, Latham, MO,65050,-92.702854,38.496092,29,135,385300
267,118 E Cooper St, Tipton, MO,65081,-92.782053,38.654453,29,135,385400
268,620 S Main St, Monroe City, MO,63456,-91.734617,39.647435,29,137,960100
269,529 Winter St, Monroe City, MO,63456,-91.741241,39.652126,29,137,960100
270,201 1st Capitol Dr, St Charles, MO,63301,-90.483378,38.779975,29,183,310502
271,2721 Zumbehl Rd, St Charles, MO,63301,-90.53543,38.801182,29,183,310802
272,1 Seton Ct, St Charles, MO,63303,-90.542019,38.776832,29,183,310902
273,5911 S Hwy 94, Weldon Spring, MO,63304,-90.688024,38.713445,29,183,311124
274,1351 Motherhead Rd, Saint Charles, MO,63304,-90.652423,38.74345,29,183,311124
275,4500 Pope Ave, Saint Louis, MO,63115,-90.230647,38.677653,29,510,109600
276,4145 Kennerly Ave, Saint Louis, MO,63113,-90.233916,38.658993,29,510,111400
277,5209 Waterman Blvd, Saint Louis, MO,63108,-90.270605,38.648905,29,510,112100
278,5110 Wilson Ave, Saint Louis, MO,63110,-90.271214,38.615498,29,510,113500
279,4711 Tamm Ave, Saint Louis, MO,63109,-90.298628,38.588292,29,510,114102
280,5821 Pernod Ave, Saint Louis, MO,63139,-90.29141,38.596635,29,510,114200
281,906 Eichelberger St, Saint Louis, MO,63111,-90.249763,38.56878,29,510,115500
282,106 N Stoddard St, Sikeston, MO,63801,-89.59223,36.876175,29,201,781200
283,210 S Kingshighway St, Sikeston, MO,63801,-89.587069,36.875364,29,201,781200
284,101 Nations Blvd, Bethel, MO,63434,-91.985507,39.942686,29,205,450100
285,407 W 3rd St, Montgomery City, MO,63361,-91.509151,38.97657,29,139,970200
286,255 Spencer Rd, Saint Peters, MO,63376,-90.60368,38.787179,29,183,311203
287,1610 Willott Rd, Saint Peters, MO,63376,-90.598904,38.776152,29,183,311203
288,650 Salt Lick Rd, Saint Peters, MO,63376,-90.661706,38.789144,29,183,311422
289,1913 Trade Center Dr, Saint Peters, MO,63376,-90.665758,38.800643,29,183,311422
290,4130 Wyoming St, Saint Louis, MO,63116,-90.256526,38.600218,29,510,116200
291,3401 Arsenal St, Saint Louis, MO,63118,-90.237753,38.602222,29,510,116500
292,3964 Castleman Ave, Saint Louis, MO,63110,-90.246688,38.614865,29,510,117200
293,4257 Magnolia Ave, Saint Louis, MO,63110,-90.257048,38.60876,29,510,117200
294,825 S Taylor Ave, Saint Louis, MO,63110,-90.260357,38.632823,29,510,118600
295,4430 Maryland Ave, Saint Louis, MO,63108,-90.25489,38.643317,29,510,119102
296,4445 Lindell Blvd, Saint Louis, MO,63108,-90.255889,38.642116,29,510,119102
297,4389 Lindell Blvd, Saint Louis, MO,63108,-90.253793,38.641684,29,510,119102
298,701 N Spring Ave, Saint Louis, MO,63108,-90.234547,38.641931,29,510,119300
299,3851 Washington Blvd, Saint Louis, MO,63108,-90.236774,38.641754,29,510,119300
300,3022 Oregon Ave, Saint Louis, MO,63118,-90.229591,38.601298,29,510,124200
301,1145 Tom Ginnever Ave, O'Fallon, MO,63366,-90.669104,38.821459,29,183,311601
302,203 W 3rd St, O'Fallon, MO,63366,-90.701746,38.812881,29,183,311802
303,31 Saint Dominic Dr, O'Fallon, MO,63366,-90.721651,38.804148,29,183,311802
304,2089 Hanley Rd, Dardenne Prairie, MO,63368,-90.756287,38.766448,29,183,311904
305,560 Powell Ave, New Madrid, MO,63869,-89.528568,36.589031,29,143,960300
306,214 W 4th St, Portageville, MO,63873,-89.703729,36.427589,29,143,960600
307,903 W South St, Neosho, MO,64850,-94.381853,36.858115,29,145,20200
308,1799 Lake Saint Louis Blvd, Lake St Louis, MO,63367,-90.776071,38.784812,29,183,311909
309,1235 Church Rd, O Fallon, MO,63366,-90.744314,38.86177,29,183,312001
310,5059 Highway P, Flint Hill, MO,63385,-90.863484,38.854865,29,183,312001
311,1410 Josephville Rd, Wentzville, MO,63385,-90.808314,38.818101,29,183,312095
312,124 S Main St, Foristell, MO,63348,-90.957828,38.815445,29,183,312097
313,701 S Church St, Wentzville, MO,63385,-90.854144,38.807541,29,183,312195
314,21353 Old Hwy 160, Reeds Spring, MO,65737,-93.347309,36.795879,29,209,90602
315,50 Hope Way, Reeds Spring, MO,65737,-93.37355,36.692288,29,209,90602
316,254 Wilson Rd, Branson, MO,65616,-93.214624,36.678514,29,213,480201
317,5 McMenamy Rd, Saint Peters, MO,63376,-90.62073,38.791921,29,183,312400
318,5100 Mexico Rd, Saint Peters, MO,63376,-90.590389,38.792602,29,183,312400
319,4175 N Kingshighway Blvd, Saint Louis, MO,63115,-90.248629,38.681283,29,510,126900
320,4720 Carter Ave, Saint Louis, MO,63115,-90.238506,38.681027,29,510,126900
321,13901 US Hwy 160, Forsyth, MO,65653,-93.125452,36.717626,29,213,480202
322,119 Myrtle Ave, Hollister, MO,65672,-93.212366,36.625487,29,213,480502
323,315 S Davis St, Maryville, MO,64468,-94.865973,40.343659,29,147,470400
324,1641 Highway C, Bonnots Mill, MO,65016,-91.883365,38.575046,29,151,490100
325,40 N 4th St, Sainte Genevieve, MO,63670,-90.047865,37.979849,29,186,960200
326,17740 State Rte N, Saint Mary, MO,63673,-90.034964,37.864945,29,186,960400
327,20 Saint Joseph St, Bonne Terre, MO,63628,-90.554684,37.924499,29,187,950300
328,1106 N Jefferson Ave, Saint Louis, MO,63106,-90.212763,38.64047,29,510,127500
329,1110 Victor St, Saint Louis, MO,63104,-90.210784,38.60283,29,510,127600
330,2201 W Rollins Rd, Columbia, MO,65203,-92.372795,38.946776,29,19,1201
331,368 S Ellsworth Ave, Marshall, MO,65340,-93.200749,39.118135,29,195,90600
332,6041 Highway KK, Hartshorn, MO,65479,-91.670671,37.264396,29,215,480200
333,4953 Steelman Rd, Summersville, MO,65571,-91.673793,37.214968,29,215,480200
334,501 Sainte Genevieve Ave, Farmington, MO,63640,-90.415489,37.779181,29,187,950800
335,608 E Columbia St, Farmington, MO,63640,-90.414418,37.779893,29,187,950800
336,10015 Lance Dr, Saint Louis, MO,63137,-90.237374,38.75149,29,189,210600
337,10600 Bellefontaine Rd, Saint Louis, MO,63137,-90.221625,38.764704,29,189,210600
338,2911 Main St, Kansas City, MO,64108,-94.585048,39.074562,29,95,4400
339,4041 Main St, Kansas City, MO,64111,-94.586255,39.052816,29,95,6700
340,400 W 51st St, Kansas City, MO,64112,-94.592002,39.035142,29,95,7200
341,707 W 47th St, Kansas City, MO,64112,-94.594804,39.042253,29,95,7300
342,5134 Baltimore Ave, Kansas City, MO,64112,-94.58858,39.034166,29,95,7400
343,330 N Main St, Nevada, MO,64772,-94.357749,37.840806,29,217,950400
344,716 E Booneslick Rd, Warrenton, MO,63383,-91.132529,38.811696,29,219,820102
345,225 W South St, Perryville, MO,63775,-89.865484,37.72383,29,157,470400
346,1007 W Saint Joseph St, Perryville, MO,63775,-89.877266,37.725866,29,157,470400
347,210 S Waters St, Perryville, MO,63775,-89.874246,37.722684,29,157,470400
348,24302 Mahin Rd, La Monte, MO,65337,-93.447818,38.730755,29,159,480200
349,25396 Highway O, Sedalia, MO,65301,-93.124653,38.704055,29,159,480400
350,3860 N US Highway 67, Florissant, MO,63034,-90.284232,38.815341,29,189,210803
351,5190 Parker Rd, Black Jack, MO,63033,-90.259819,38.793342,29,189,210806
352,16475 New Halls Ferry Rd, Florissant, MO,63031,-90.317946,38.838454,29,189,210924
353,1220 Paddock Dr, Florissant, MO,63033,-90.306087,38.794723,29,189,211000
354,3500 Saint Catherine St, Florissant, MO,63033,-90.291577,38.788072,29,189,211102
355,209 Saint Louis St, Florissant, MO,63031,-90.329875,38.796142,29,189,211201
356,501 Saint Louis St, Florissant, MO,63031,-90.327154,38.7948,29,189,211201
357,751 N Jefferson St, Florissant, MO,63031,-90.325868,38.794712,29,189,211201
358,1285 N New Florissant Rd, Florissant, MO,63031,-90.316889,38.796469,29,189,211202
359,845 Dunn Rd, Florissant, MO,63031,-90.324192,38.774864,29,189,211202
360,1735 Charbonier Rd, Florissant, MO,63031,-90.353563,38.80577,29,189,211301
361,5600 Main St, Kansas City, MO,64113,-94.587912,39.025823,29,95,8300
362,6400 Charlotte St, Kansas City, MO,64131,-94.578279,39.010675,29,95,8600
363,7500 Oak St, Kansas City, MO,64114,-94.584989,38.991832,29,95,9100
364,14 W 75th St, Kansas City, MO,64114,-94.589728,38.992193,29,95,9100
365,8150 Wornall Rd, Kansas City, MO,64114,-94.594875,38.97995,29,95,9300
366,7933 Main St, Kansas City, MO,64114,-94.589924,38.983878,29,95,9400
367,7938 Chestnut Ave, Kansas City, MO,64132,-94.555395,38.983059,29,95,9600
368,11430 Wornall Rd, Kansas City, MO,64114,-94.593031,38.920637,29,95,10105
369,11511 State Line Rd, Kansas City, MO,64114,-94.607952,38.918571,29,95,10105
370,13495 MO 94, Marthasville, MO,63357,-91.015118,38.604997,29,219,820202
371,416 W 3rd St, Sedalia, MO,65301,-93.231572,38.708761,29,159,480900
372,701 S Massachusetts Ave, Sedalia, MO,65301,-93.225984,38.705022,29,159,480900
373,19 Saint Patrick Ln, Rolla, MO,65401,-91.773944,37.957046,29,161,890400
374,7200 Howdershell Rd, Hazelwood, MO,63042,-90.37169,38.79421,29,189,211332
375,2705 Mullanphy Ln, Florissant, MO,63031,-90.357315,38.820698,29,189,211334
376,8390 Latty Ave, Hazelwood, MO,63042,-90.329326,38.766711,29,189,211600
377,150 N Elizabeth Ave, Saint Louis, MO,63135,-90.299385,38.749084,29,189,211700
378,1552 Knollway Dr, Saint Louis, MO,63135,-90.295046,38.769816,29,189,211700
379,5401 Lucas and Hunt Rd, Saint Louis, MO,63121,-90.28174,38.716775,29,189,212300
380,7401 Florissant Rd, Saint Louis, MO,63121,-90.296856,38.705112,29,189,212300
381,819 W Waldo Ave, Independence, MO,64050,-94.425178,39.096437,29,95,11600
382,613 S Main St, Independence, MO,64050,-94.41579,39.086448,29,95,11600
383,622 N Main St, Independence, MO,64050,-94.415557,39.096591,29,95,11600
384,2425 S Hardy Ave, Independence, MO,64052,-94.455544,39.078341,29,95,11900
385,10021 E 36th Ter S, Independence, MO,64052,-94.46043,39.05617,29,95,12000
386,9001 James A Reed Rd, Kansas City, MO,64138,-94.493502,38.961729,29,95,12903
387,8941 James A Reed Rd, Kansas City, MO,64138,-94.493477,38.962225,29,95,12903
388,8505 E 99th St, Kansas City, MO,64134,-94.490349,38.944279,29,95,12906
389,1636 Nation School Rd, Marshfield, MO,65706,-92.706915,37.254043,29,225,470101
390,50 Bright Prairie Rd, Seymour, MO,65746,-92.770043,37.213732,29,225,470302
391,1529 Clear Spring Rd, Seymour, MO,65746,-92.755278,37.206457,29,225,470302
392,516 Short State Highway P, Seymour, MO,65746,-92.738982,37.228343,29,225,470302
393,5911 Skyline Rd, Seymour, MO,65746,-92.788197,37.238175,29,225,470302
394,814 Highway O, Rolla, MO,65401,-91.748043,37.934814,29,161,890900
395,21493 Highway 161, Bowling Green, MO,63334,-91.213514,39.265113,29,163,460300
396,1115 S Florissant Rd, Saint Louis, MO,63121,-90.301859,38.730068,29,189,212700
397,3120 Parkwood Ln, Maryland Heights, MO,63043,-90.43429,38.734503,29,189,213202
398,11570 Mark Twain Ln, Bridgeton, MO,63044,-90.413585,38.742408,29,189,213203
399,2788 Normandy Dr, Bel-Nor, MO,63121,-90.31292,38.700416,29,189,213700
400,7532 Natural Bridge Rd, Saint Louis, MO,63121,-90.29971,38.705083,29,189,213700
401,8240 Saint Charles Rock Rd, Saint Louis, MO,63114,-90.332004,38.700849,29,189,214300
402,12340 Grandview Rd, Grandview, MO,64030,-94.534083,38.901349,29,95,13301
403,5111 Harry S Truman Dr, Grandview, MO,64030,-94.532741,38.898912,29,95,13301
404,12401 Byars Rd, Grandview, MO,64030,-94.506394,38.898383,29,95,13309
405,421 E 137th St, Kansas City, MO,64145,-94.590045,38.878874,29,95,13405
406,12411 Wornall Rd, Kansas City, MO,64145,-94.594257,38.902812,29,95,13408
407,11800 Holmes Rd, Kansas City, MO,64131,-94.584377,38.912754,29,95,13408
408,150 NW Murray Rd, Lees Summit, MO,64081,-94.403956,38.917055,29,95,13608
409,812 SW Forestpark Ln, Lees Summit, MO,64081,-94.42464,38.905624,29,95,13612
410,1450 SW Jefferson St, Lees Summit, MO,64081,-94.377619,38.893935,29,95,13704
411,1000 Elm Tree Rd, Troy, MO,63379,-90.973825,38.952307,29,113,810303
412,120 Maryknoll Rd, Old Monroe, MO,63369,-90.781977,38.943489,29,113,810400
413,24553 Elm Dr, Laclede, MO,64651,-93.202085,39.810273,29,115,490300
414,24553 Elm Dr, Laclede, MO,64651,-93.202085,39.810273,29,115,490300
415,327 S Kansas Ave, Marceline, MO,64658,-92.952767,39.712438,29,115,490500
416,7277 N MO 9, Platte Woods, MO,64152,-94.658848,39.226832,29,165,30103
417,10909 Saint Henry Ln, St Ann, MO,63074,-90.394902,38.723602,29,189,214800
418,10901 Saint Henry Ln, St Ann, MO,63074,-90.394639,38.723537,29,189,214800
419,11050 N Warson Rd, Saint Louis, MO,63114,-90.406829,38.699747,29,189,214900
420,12463 Grace Church Rd, Maryland Heights, MO,63043,-90.444811,38.743385,29,189,215143
421,888 N Mason Rd, Creve Coeur, MO,63141,-90.469805,38.671151,29,189,215201
422,1850 De la Salle Dr, Saint Louis, MO,63141,-90.45968,38.639531,29,189,215201
423,12226 Ladue Rd, Saint Louis, MO,63141,-90.456731,38.655451,29,189,215201
424,233 N New Ballas Rd, Saint Louis, MO,63141,-90.4434,38.659923,29,189,215201
425,900 N Mason Rd, Saint Louis, MO,63141,-90.469802,38.671457,29,189,215201
426,348 S Mason Rd, Saint Louis, MO,63141,-90.479461,38.649894,29,189,215201
427,500 S Mason Rd, Saint Louis, MO,63141,-90.481824,38.645628,29,189,215201
428,12132 Olive Blvd, Saint Louis, MO,63141,-90.451113,38.672394,29,189,215201
429,13416 Olive Blvd, Chesterfield, MO,63017,-90.496575,38.680216,29,189,215202
430,12928 Ladue Rd, Saint Louis, MO,63141,-90.483047,38.655638,29,189,215202
431,13725 Conway Rd, Saint Louis, MO,63141,-90.509027,38.649171,29,189,215202
432,13431 N Outer 40 Rd, Chesterfield, MO,63017,-90.498003,38.640154,29,189,215202
433,175 S Mason Rd, Saint Louis, MO,63141,-90.479841,38.653363,29,189,215202
434,73 Burning Tree Dr, Chesterfield, MO,63017,-90.506515,38.677722,29,189,215231
435,14550 Ladue Rd, Chesterfield, MO,63017,-90.528979,38.667789,29,189,215231
436,14000 Ladue Rd, Chesterfield, MO,63017,-90.508548,38.661368,29,189,215232
437,1505 NW Mock Ave, Blue Springs, MO,64015,-94.281219,39.029147,29,95,14101
438,801 NW RD Mize Rd, Blue Springs, MO,64015,-94.274083,39.023869,29,95,14101
439,900 NW Woods Chapel Rd, Blue Springs, MO,64015,-94.304282,39.027591,29,95,14108
440,1500 SW Clark Rd, Blue Springs, MO,64015,-94.282511,39.002201,29,95,14114
441,4214 NW Cookingham Rd, Kansas City, MO,64164,-94.628378,39.311054,29,165,30600
442,403 S Lindbergh Blvd, Saint Louis, MO,63131,-90.405506,38.651124,29,189,215302
443,11411 N 40 Dr, Saint Louis, MO,63131,-90.427776,38.637111,29,189,215302
444,801 S Spoede Rd, Saint Louis, MO,63131,-90.415365,38.641628,29,189,215302
445,3020 N Ballas Rd, Saint Louis, MO,63131,-90.443425,38.6349,29,189,215302
446,9333 Clayton Rd, Saint Louis, MO,63124,-90.375899,38.640994,29,189,215400
447,900 Lay Rd, Saint Louis, MO,63124,-90.361896,38.644185,29,189,215400
448,755 S Price Rd, Saint Louis, MO,63124,-90.36687,38.643338,29,189,215400
449,101 N Warson Rd, Saint Louis, MO,63124,-90.395453,38.654946,29,189,215400
450,9733 Olive Blvd, Saint Louis, MO,63132,-90.391088,38.67277,29,189,215500
451,9137 Old Bonhomme Rd, Saint Louis, MO,63132,-90.365312,38.666913,29,189,215500
452,1146 N Warson Rd, Saint Louis, MO,63132,-90.394623,38.680025,29,189,215600
453,1138 N Warson Rd, Saint Louis, MO,63132,-90.394627,38.67984,29,189,215600
454,9777 Grandview Dr, Saint Louis, MO,63132,-90.393559,38.677959,29,189,215600
455,1483 82nd Blvd, Saint Louis, MO,63132,-90.348142,38.680523,29,189,215700
456,8659 Olive Blvd, Saint Louis, MO,63132,-90.358881,38.67416,29,189,215700
457,700 North and South Rd, Saint Louis, MO,63130,-90.337281,38.660258,29,189,215800
458,609 North and South Rd, Saint Louis, MO,63130,-90.337548,38.659431,29,189,215800
459,7400 Olive Blvd, Saint Louis, MO,63130,-90.329367,38.671291,29,189,215900
460,7324 Balson Ave, Saint Louis, MO,63130,-90.325904,38.663822,29,189,216200
461,6345 Wydown Blvd, Saint Louis, MO,63105,-90.305724,38.644374,29,189,216300
462,400 De Mun Ave, Saint Louis, MO,63105,-90.306999,38.641728,29,189,216300
463,101 N Bemiston Ave, Saint Louis, MO,63105,-90.336697,38.651656,29,189,216500
464,8910 Clayton Rd, Richmond Heights, MO,63117,-90.351146,38.639072,29,189,216600
465,1414 Bellevue Ave, Richmond Heights, MO,63117,-90.312694,38.627141,29,189,216800
466,2320 Bellevue Ave, Saint Louis, MO,63143,-90.313462,38.618049,29,189,216900
467,7281 Sarah St, Saint Louis, MO,63143,-90.31621,38.612789,29,189,217000
468,8750 Magdalen Ave, Saint Louis, MO,63144,-90.347716,38.613392,29,189,217300
469,7630 Sutherland Ave, Saint Louis, MO,63119,-90.329078,38.594075,29,189,219600
470,5025 Lakewood Ave, Saint Louis, MO,63123,-90.304813,38.558832,29,189,219800
471,7748 MacKenzie Rd, Saint Louis, MO,63123,-90.320462,38.568003,29,189,219800
472,604 HBC Rd, Macon, MO,63552,-92.467499,39.757356,29,121,960400
473,401 N Rubey St, Macon, MO,63552,-92.471427,39.740772,29,121,960500
474,\N,\N,\N,\N,\N,\N,\N,\N,\N
475,\N,\N,\N,\N,\N,\N,\N,\N,\N
476,\N,\N,\N,\N,\N,\N,\N,\N,\N
477,\N,\N,\N,\N,\N,\N,\N,\N,\N
478,\N,\N,\N,\N,\N,\N,\N,\N,\N
479,\N,\N,\N,\N,\N,\N,\N,\N,\N
480,\N,\N,\N,\N,\N,\N,\N,\N,\N
481,\N,\N,\N,\N,\N,\N,\N,\N,\N
482,\N,\N,\N,\N,\N,\N,\N,\N,\N
483,\N,\N,\N,\N,\N,\N,\N,\N,\N
484,\N,\N,\N,\N,\N,\N,\N,\N,\N
485,\N,\N,\N,\N,\N,\N,\N,\N,\N
486,\N,\N,\N,\N,\N,\N,\N,\N,\N
487,\N,\N,\N,\N,\N,\N,\N,\N,\N
488,\N,\N,\N,\N,\N,\N,\N,\N,\N
489,\N,\N,\N,\N,\N,\N,\N,\N,\N
490,\N,\N,\N,\N,\N,\N,\N,\N,\N
491,\N,\N,\N,\N,\N,\N,\N,\N,\N
492,\N,\N,\N,\N,\N,\N,\N,\N,\N
493,\N,\N,\N,\N,\N,\N,\N,\N,\N
494,\N,\N,\N,\N,\N,\N,\N,\N,\N
495,\N,\N,\N,\N,\N,\N,\N,\N,\N
496,\N,\N,\N,\N,\N,\N,\N,\N,\N
497,\N,\N,\N,\N,\N,\N,\N,\N,\N
498,\N,\N,\N,\N,\N,\N,\N,\N,\N
499,\N,\N,\N,\N,\N,\N,\N,\N,\N
500,\N,\N,\N,\N,\N,\N,\N,\N,\N
501,\N,\N,\N,\N,\N,\N,\N,\N,\N
502,\N,\N,\N,\N,\N,\N,\N,\N,\N
503,\N,\N,\N,\N,\N,\N,\N,\N,\N
504,\N,\N,\N,\N,\N,\N,\N,\N,\N
505,\N,\N,\N,\N,\N,\N,\N,\N,\N
506,\N,\N,\N,\N,\N,\N,\N,\N,\N
507,\N,\N,\N,\N,\N,\N,\N,\N,\N
508,\N,\N,\N,\N,\N,\N,\N,\N,\N
509,\N,\N,\N,\N,\N,\N,\N,\N,\N
510,\N,\N,\N,\N,\N,\N,\N,\N,\N
511,\N,\N,\N,\N,\N,\N,\N,\N,\N
512,\N,\N,\N,\N,\N,\N,\N,\N,\N
513,\N,\N,\N,\N,\N,\N,\N,\N,\N
514,\N,\N,\N,\N,\N,\N,\N,\N,\N
515,\N,\N,\N,\N,\N,\N,\N,\N,\N
516,\N,\N,\N,\N,\N,\N,\N,\N,\N
517,\N,\N,\N,\N,\N,\N,\N,\N,\N
518,\N,\N,\N,\N,\N,\N,\N,\N,\N
519,\N,\N,\N,\N,\N,\N,\N,\N,\N
520,\N,\N,\N,\N,\N,\N,\N,\N,\N
521,\N,\N,\N,\N,\N,\N,\N,\N,\N
522,\N,\N,\N,\N,\N,\N,\N,\N,\N
523,\N,\N,\N,\N,\N,\N,\N,\N,\N
524,\N,\N,\N,\N,\N,\N,\N,\N,\N
525,\N,\N,\N,\N,\N,\N,\N,\N,\N
526,\N,\N,\N,\N,\N,\N,\N,\N,\N
527,\N,\N,\N,\N,\N,\N,\N,\N,\N
528,\N,\N,\N,\N,\N,\N,\N,\N,\N
529,\N,\N,\N,\N,\N,\N,\N,\N,\N
530,\N,\N,\N,\N,\N,\N,\N,\N,\N
531,\N,\N,\N,\N,\N,\N,\N,\N,\N
532,\N,\N,\N,\N,\N,\N,\N,\N,\N
533,\N,\N,\N,\N,\N,\N,\N,\N,\N
534,\N,\N,\N,\N,\N,\N,\N,\N,\N
535,\N,\N,\N,\N,\N,\N,\N,\N,\N
536,\N,\N,\N,\N,\N,\N,\N,\N,\N
537,\N,\N,\N,\N,\N,\N,\N,\N,\N
538,\N,\N,\N,\N,\N,\N,\N,\N,\N
539,\N,\N,\N,\N,\N,\N,\N,\N,\N
540,\N,\N,\N,\N,\N,\N,\N,\N,\N
541,\N,\N,\N,\N,\N,\N,\N,\N,\N
542,\N,\N,\N,\N,\N,\N,\N,\N,\N
543,\N,\N,\N,\N,\N,\N,\N,\N,\N
544,\N,\N,\N,\N,\N,\N,\N,\N,\N
545,\N,\N,\N,\N,\N,\N,\N,\N,\N
546,\N,\N,\N,\N,\N,\N,\N,\N,\N
547,\N,\N,\N,\N,\N,\N,\N,\N,\N
548,\N,\N,\N,\N,\N,\N,\N,\N,\N
549,\N,\N,\N,\N,\N,\N,\N,\N,\N
550,\N,\N,\N,\N,\N,\N,\N,\N,\N
551,\N,\N,\N,\N,\N,\N,\N,\N,\N
552,\N,\N,\N,\N,\N,\N,\N,\N,\N
553,\N,\N,\N,\N,\N,\N,\N,\N,\N
554,\N,\N,\N,\N,\N,\N,\N,\N,\N
555,\N,\N,\N,\N,\N,\N,\N,\N,\N
556,\N,\N,\N,\N,\N,\N,\N,\N,\N
557,\N,\N,\N,\N,\N,\N,\N,\N,\N
558,\N,\N,\N,\N,\N,\N,\N,\N,\N
559,\N,\N,\N,\N,\N,\N,\N,\N,\N
560,\N,\N,\N,\N,\N,\N,\N,\N,\N
561,\N,\N,\N,\N,\N,\N,\N,\N,\N
562,\N,\N,\N,\N,\N,\N,\N,\N,\N
563,\N,\N,\N,\N,\N,\N,\N,\N,\N
564,\N,\N,\N,\N,\N,\N,\N,\N,\N
565,\N,\N,\N,\N,\N,\N,\N,\N,\N
566,\N,\N,\N,\N,\N,\N,\N,\N,\N
567,\N,\N,\N,\N,\N,\N,\N,\N,\N
568,\N,\N,\N,\N,\N,\N,\N,\N,\N
569,\N,\N,\N,\N,\N,\N,\N,\N,\N
570,\N,\N,\N,\N,\N,\N,\N,\N,\N
571,\N,\N,\N,\N,\N,\N,\N,\N,\N
572,\N,\N,\N,\N,\N,\N,\N,\N,\N
573,\N,\N,\N,\N,\N,\N,\N,\N,\N
574,\N,\N,\N,\N,\N,\N,\N,\N,\N
575,\N,\N,\N,\N,\N,\N,\N,\N,\N
576,\N,\N,\N,\N,\N,\N,\N,\N,\N
577,\N,\N,\N,\N,\N,\N,\N,\N,\N